Species,Species_Eng
Abborre,Perch
Mört,Roach
Strömming,Herring
Gärs,Ruffe
Björkna,Silver bream
Löja,Bleak
Nors,Smelt
Skrubbskädda,European flounder
Skarpsill,Sprat
Sill,Herring
Sik,Whitefish
Braxen,Bream
Svartmunnad smörbult,Round goby
Gös,Zander
Torsk,Cod
Rötsimpa,Shorthorn sculpin
Storspigg,Three-spined stickleback
Sarv,Rudd
Siklöja,Vendace
Tånglake,Eelpout
Id,Ide
Hornsimpa,Fourhorn sculpin
Svart smörbult,Black goby
Stäm,Dace
Vimma,Vimba
Tobiskung,Great sand eel
Sutare,Tench
Elritsa,Minnow
Gädda,Pike
Öring,Brown trout
Mindre havsnål,Straightnose pipefish
Kusttobis,Lesser sand eel
Piggvar,Turbot
Stensimpa,European bullhead
Oxsimpa,Longspined bullhead
Ruda,Crucian carp
Bergsimpa,Alpine bullhead
Lake,Burbot
Tångsnälla,Broadnosed pipefish
